date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:35	13632/13632	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/2.3.2/assets/js/google-code-prettify/prettify.js	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/2.3.2/assets/js/google-code-prettify/prettify.js	(from http://getbootstrap.com/2.3.2/)
10:19:40	1864/1864	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/assets/brand/bootstrap-outline.svg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/assets/brand/bootstrap-outline.svg	(from http://getbootstrap.com/about/)
10:19:49	1647/1647	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/assets/brand/bootstrap-punchout.svg	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/assets/brand/bootstrap-punchout.svg	(from http://getbootstrap.com/about/)
10:19:50	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225519ee21-247c%22	http://getbootstrap.com/track.js	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/track.5b.delayed	(from http://secure.gaug.es/track.js)
10:19:51	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225519ee21-247c%22	http://getbootstrap.com/track.gif	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/track.5c.delayed	(from http://secure.gaug.es/track.js)
10:19:52	96/96	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/starter-template/starter-template.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/starter-template/starter-template.css	(from http://getbootstrap.com/examples/starter-template/)
10:19:53	19963/19963	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/dist/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/dist/css/bootstrap-theme.min.css	(from http://getbootstrap.com/examples/theme/)
10:19:53	255/255	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/theme/theme.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/theme/theme.css	(from http://getbootstrap.com/examples/theme/)
10:19:54	362/362	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/grid/grid.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/grid/grid.css	(from http://getbootstrap.com/examples/grid/)
10:19:55	127/127	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/jumbotron/jumbotron.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/jumbotron/jumbotron.css	(from http://getbootstrap.com/examples/jumbotron/)
10:19:55	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Fri,%2019%20Dec%202014%2015:56:50%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/bootstrap/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://getbootstrap.com/)
10:19:56	1411/1411	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/jumbotron-narrow/jumbotron-narrow.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/jumbotron-narrow/jumbotron-narrow.css	(from http://getbootstrap.com/examples/jumbotron-narrow/)
10:19:57	90/90	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/navbar/navbar.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/navbar/navbar.css	(from http://getbootstrap.com/examples/navbar/)
10:19:57	78/78	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Apr%202015%2020:33:55%20GMT	http://getbootstrap.com/examples/navbar-static-top/navbar-static-top.css	C:/My%20Web%20Sites/bootstrap/getbootstrap.com/examples/navbar-static-top/navbar-static-top.css	(from http://getbootstrap.com/examples/navbar-static-top/)
